Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Réunion avec profs"	"04.11.2021 17:00"	"04.11.2021 18:00"	"Rappel"	""	""
"Louer tentes agepolz"	"04.11.2021 14:00"	"04.11.2021 15:00"	"Rappel"	""	""
"Meeting Dénis et André"	"18.11.2021 17:00"	"18.11.2021 18:00"	"Rappel"	""	""
"Binch Ragul"	"08.11.2021 15:00"	"08.11.2021 16:00"	"Rappel"	""	""
"Soirée Florence"	"05.11.2021 22:00"	"05.11.2021 23:00"	"Rappel"	""	""
"Appeler Chantal"	"05.11.2021 10:45"	"05.11.2021 11:45"	"Rappel"	""	""
"Soirée Mégane"	"13.11.2021 22:00"	"13.11.2021 23:00"	"Rappel"	""	""
"Coline à Manor"	"06.11.2021 16:00"	"06.11.2021 17:00"	"Rappel"	""	""
"Café avec Hannah"	"08.11.2021 10:00"	"08.11.2021 11:00"	"Rappel"	""	""
"Soirée avec Ezgi"	"18.11.2021 20:00"	"19.11.2021 00:00"	"Rappel"	""	""
"Chopper carte à Jade"	"08.11.2021 11:00"	"08.11.2021 11:15"	"Rappel"	""	""
"Aller acheter cônes décathlon"	"08.11.2021 14:00"	"08.11.2021 15:00"	"Rappel"	""	""
"Réserver Patrick location (pour 18 et 25)"	"08.11.2021 18:30"	"08.11.2021 18:45"	"Rappel"	""	""
"Meeting cortisol"	"09.11.2021 15:00"	"09.11.2021 16:00"	"Rappel"	""	""
"Texte pour Asia"	"09.11.2021 14:00"	"09.11.2021 15:00"	"Rappel"	""	""
"Café avec mec pour 3D"	"09.11.2021 13:00"	"09.11.2021 14:00"	"Rappel"	""	""
"Repas avec Marin"	"16.11.2021 19:00"	"16.11.2021 22:00"	""	""	""
"Call with Chassis guys from Italy"	"10.11.2021 16:00"	"10.11.2021 17:00"	""	""	""
"Catch Up Meeting Stefan Dassault"	"25.11.2021 10:00"	"25.11.2021 11:00"	""	""	""
"Berne manger avec Jojo"	"23.11.2021 19:00"	"24.11.2021 00:00"	"Rappel"	""	""
"Raclette organisée par Juliette"	"02.12.2021 18:30"	"02.12.2021 23:00"	"Rappel"	""	""
"Envoyer mail à Eric"	"13.11.2021 14:00"	"13.11.2021 15:00"	""	""	""
"Soirée no name avec Ezgi"	"27.11.2021 19:00"	"28.11.2021 00:00"	"Rappel"	""	""
"Midi avec Bellet"	"16.11.2021 12:00"	"16.11.2021 13:00"	"Rappel"	""	""
"Envoyer formulaire déplacement armée"	"21.11.2021 14:00"	"21.11.2021 15:00"	"Rappel"	""	""
"Appel Heloïse événement"	"16.11.2021 09:00"	"16.11.2021 10:00"	"Rappel"	""	""
"Contacter Julie pour mediacom"	"16.11.2021 17:00"	"16.11.2021 18:00"	""	""	""
"Marion chez le psy"	"23.11.2021 15:00"	"23.11.2021 16:00"	"Rappel"	""	""
"Détourner Boîte Sponsoring"	"17.11.2021 14:00"	"17.11.2021 15:00"	""	""	""
"Réu comm site"	"01.12.2021 19:00"	"01.12.2021 22:00"	""	""	""
"Appeler Jess"	"16.11.2021 19:00"	"16.11.2021 20:00"	"Rappel"	""	""
"Slides meeting CIS"	"17.11.2021 16:00"	"17.11.2021 17:00"	"Rappel"	""	""
"Meeting Schneider electrics avec Sami"	"23.11.2021 08:00"	"23.11.2021 09:00"	"Rappel"	""	""
"Aller chez Florence"	"19.11.2021 18:00"	"19.11.2021 19:00"	"Rappel"	""	""
"Projet MGT"	"21.11.2021 13:00"	"21.11.2021 18:00"	"Rappel"	""	""
"Reunion avec Jawad"	"22.11.2021 11:00"	"22.11.2021 12:00"	"Rappel"	""	""
"Aller voir Chantal"	"21.11.2021 15:00"	"21.11.2021 16:00"	"Rappel"	""	""
"Fernando à la maison"	"20.11.2021 19:00"	"20.11.2021 20:00"	"Rappel"	""	""
"Bouffe avec Flo à Morges"	"24.11.2021 19:00"	"24.11.2021 23:00"	"Rappel"	""	""
"Bouffe à la maison avec Rhyan"	"25.11.2021 12:00"	"25.11.2021 13:00"	"Rappel"	""	""
"Fit avec Juju"	"23.11.2021 16:00"	"23.11.2021 18:00"	"Rappel"	""	""
"Meeting Jawad Shanks"	"23.11.2021 15:00"	"23.11.2021 16:00"	"Rappel"	""	""
"Call machine learning project"	"24.11.2021 13:00"	"24.11.2021 14:00"	"Rappel"	""	""
"EXAM : Machine Learning"	"20.01.2022 08:15"	"20.01.2022 11:15"	""	""	""
"EXAM : ADA"	"25.01.2022 08:15"	"25.01.2022 11:15"	""	""	""
"Meeting Jawad Yverdon"	"23.11.2021 14:00"	"23.11.2021 15:00"	""	""	""

